yearID,playerID,Salary,stint_pitch,W,L,G_pitch,GS_pitch,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP_pitch,HBP,BK,BFP,GF,R,SH,SF,GIDP,stint_field,G_field,GS_field,InnOuts,PO,A,E,DP,PB,WP_field,SB,CS,ZR,TrainVal
2011,adamsmi03,2535000,3,5,4,75,0,0,0,2,221,44,12,5,14,74,0.351,3.23,2.0,0,0.0,0,277.0,10,13,2.0,1.0,2.0,3,75,0.0,221.0,4,5,0.0,0,0.0,0.0,0.0,0.0,0.0,Training
2012,adamsmi03,4400000,1,5,3,61,0,0,0,1,157,56,19,4,17,45,0.269,3.27,1.0,2,3.0,0,228.0,7,21,0.0,0.0,5.0,1,61,0.0,157.0,5,12,0.0,2,0.0,0.0,0.0,0.0,0.0,Training
2013,adamsmi03,5000000,1,1,4,28,0,0,0,0,75,23,11,5,11,23,0.242,3.96,0.0,1,1.0,0,107.0,4,11,0.0,0.0,2.0,1,28,0.0,75.0,5,3,1.0,0,0.0,0.0,0.0,0.0,0.0,Training
2014,adamsmi03,7000000,1,2,1,22,0,0,0,0,56,16,6,1,8,21,0.232,2.89,1.0,0,0.0,0,79.0,0,8,2.0,0.0,2.0,1,22,0.0,56.0,0,5,0.0,1,0.0,0.0,0.0,0.0,0.0,Training
2011,adcocna01,414000,1,1,1,24,3,0,0,1,181,63,31,5,26,36,0.272,4.62,3.0,4,3.0,1,265.0,5,34,3.0,1.0,4.0,1,24,3.0,181.0,7,8,0.0,0,0.0,0.0,0.0,0.0,0.0,Training
2009,adenhni01,400000,1,0,0,1,1,0,0,0,18,7,0,0,3,5,0.292,0.0,0.0,1,0.0,0,27.0,0,0,0.0,0.0,1.0,1,1,1.0,18.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,Training
2006,affelje01,1000000,3,8,8,54,9,0,0,1,292,102,67,13,55,48,0.539,12.82,3.0,2,2.0,0,448.0,12,74,4.0,4.0,8.0,3,54,9.0,292.0,1,13,1.0,1,0.0,0.0,0.0,0.0,0.0,Training
2007,affelje01,1250000,1,4,3,75,0,0,0,0,177,47,23,3,33,46,0.226,3.51,9.0,6,3.0,1,253.0,11,26,3.0,6.0,7.0,1,75,0.0,177.0,2,12,0.0,0,0.0,0.0,0.0,0.0,0.0,Training
2008,affelje01,3000000,1,1,1,74,0,0,0,0,235,78,29,9,25,80,0.26,3.33,0.0,6,3.0,0,335.0,20,36,7.0,0.0,7.0,1,74,0.0,235.0,7,22,1.0,2,0.0,0.0,0.0,0.0,0.0,Training
2009,affelje01,3500000,1,2,2,74,0,0,0,0,187,42,12,3,31,55,0.197,1.73,3.0,5,3.0,0,248.0,8,14,0.0,1.0,18.0,1,74,0.0,187.0,4,12,1.0,2,0.0,0.0,0.0,0.0,0.0,Training
2010,affelje01,4000000,1,4,3,53,0,0,0,4,150,56,23,4,24,44,0.29,4.14,5.0,4,3.0,0,228.0,14,25,7.0,1.0,4.0,1,53,0.0,150.0,3,15,3.0,0,0.0,0.0,0.0,0.0,0.0,Training
2011,affelje01,4500000,1,3,2,67,0,0,0,3,185,47,18,5,24,54,0.207,2.63,3.0,4,4.0,0,259.0,12,22,4.0,0.0,4.0,1,67,0.0,185.0,7,11,0.0,0,0.0,0.0,0.0,0.0,0.0,Training
2012,affelje01,5000000,1,1,2,67,0,0,0,3,190,57,19,1,23,57,0.241,2.7,1.0,5,3.0,0,267.0,10,23,4.0,0.0,7.0,1,67,0.0,190.0,5,13,1.0,1,0.0,0.0,0.0,0.0,0.0,Training
2013,affelje01,6000000,1,1,5,39,0,0,0,0,101,27,14,2,17,21,0.225,3.74,5.0,2,4.0,0,146.0,11,14,4.0,1.0,3.0,1,39,0.0,101.0,1,9,0.0,0,0.0,0.0,0.0,0.0,0.0,Training
2014,affelje01,6000000,1,4,2,62,0,0,0,0,166,47,14,1,14,41,0.229,2.28,1.0,4,4.0,1,225.0,9,14,1.0,1.0,6.0,1,62,0.0,166.0,0,20,0.0,2,0.0,0.0,0.0,0.0,0.0,Training
2015,affelje01,6000000,1,2,2,52,0,0,0,0,106,43,23,6,14,21,0.293,5.86,2.0,1,2.0,0,163.0,7,24,0.0,0.0,4.0,1,52,0.0,106.0,3,6,0.0,0,0.0,0.0,0.0,0.0,0.0,Training
2008,albaljo01,393225,1,0,1,7,0,0,0,0,41,15,6,1,6,13,0.294,3.95,0.0,0,0.0,0,58.0,2,6,1.0,0.0,2.0,1,7,0.0,41.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,Training
2009,albaljo01,403075,1,5,1,32,0,0,0,0,103,41,20,6,16,21,0.306,5.24,2.0,0,3.0,0,158.0,5,23,1.0,4.0,3.0,1,32,0.0,103.0,1,7,0.0,0,0.0,0.0,0.0,0.0,0.0,Training
2008,alberma01,395000,1,3,3,28,3,0,0,0,147,43,19,4,22,26,0.24,3.49,1.0,1,2.0,0,208.0,5,21,1.0,3.0,9.0,1,28,3.0,147.0,5,6,0.0,0,0.0,0.0,0.0,0.0,0.0,Training
2009,alberma01,410000,1,3,6,56,0,0,0,0,201,80,41,3,36,49,0.303,5.51,3.0,3,2.0,0,309.0,13,43,5.0,2.0,8.0,1,56,0.0,201.0,4,6,0.0,0,0.0,0.0,0.0,0.0,0.0,Training
2010,alberma01,680000,1,5,3,62,0,0,0,0,227,78,38,6,34,49,0.269,4.52,5.0,2,2.0,0,329.0,19,41,3.0,0.0,12.0,1,62,0.0,227.0,6,15,1.0,3,0.0,0.0,0.0,0.0,0.0,Training
2011,alberma01,875000,1,4,4,56,0,0,0,0,194,62,34,7,31,68,0.251,4.73,1.0,2,5.0,0,289.0,10,35,4.0,2.0,3.0,1,56,0.0,194.0,1,8,1.0,0,0.0,0.0,0.0,0.0,0.0,Training
2012,alberma01,1075000,3,3,1,63,0,0,0,0,181,46,16,9,22,44,0.429,4.859999999999999,3.0,1,2.0,0,241.0,12,21,1.0,2.0,9.0,3,63,0.0,181.0,1,8,1.0,1,0.0,0.0,0.0,0.0,0.0,Training
2013,alberma01,1750000,1,3,1,56,0,0,0,0,189,57,22,2,23,35,0.242,3.14,3.0,6,1.0,0,262.0,21,25,2.0,0.0,9.0,1,56,0.0,189.0,4,11,1.0,1,0.0,0.0,0.0,0.0,0.0,Training
2015,alberma01,1500000,1,2,0,30,0,0,0,0,112,31,5,3,9,28,0.228,1.21,2.0,0,1.0,0,149.0,5,6,0.0,3.0,4.0,1,30,0.0,112.0,3,8,1.0,1,0.0,0.0,0.0,0.0,0.0,Training
2016,alberma01,2000000,1,2,6,58,1,0,0,0,154,67,36,10,19,30,0.321,6.31,1.0,4,3.0,0,237.0,11,44,3.0,2.0,4.0,1,58,1.0,154.0,2,8,2.0,2,0.0,0.0,0.0,0.0,0.0,Validation
2012,albural01,495000,1,0,0,8,0,0,0,0,40,6,1,0,8,18,0.133,0.68,0.0,0,0.0,1,53.0,0,1,0.0,0.0,1.0,1,8,0.0,40.0,0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,Training
2013,albural01,500000,1,4,3,53,0,0,0,0,147,39,25,5,34,70,0.213,4.59,5.0,9,2.0,1,220.0,12,25,0.0,1.0,3.0,1,53,0.0,147.0,4,2,1.0,0,0.0,0.0,0.0,0.0,0.0,Training
2014,albural01,837500,1,3,1,72,0,0,0,1,172,46,16,7,21,63,0.219,2.51,1.0,2,3.0,2,236.0,15,16,0.0,2.0,3.0,1,72,0.0,172.0,4,5,0.0,1,0.0,0.0,0.0,0.0,0.0,Training
2015,albural01,1725000,1,4,1,67,0,0,0,0,186,63,29,4,33,58,0.269,4.21,3.0,5,1.0,4,271.0,12,29,1.0,2.0,5.0,1,67,0.0,186.0,5,9,0.0,2,0.0,0.0,0.0,0.0,0.0,Training
2006,alfonan01,2750000,1,0,0,19,0,0,0,0,48,23,10,3,7,5,0.348,5.63,0.0,0,0.0,0,74.0,3,10,0.0,1.0,3.0,1,19,0.0,48.0,1,3,0.0,0,0.0,0.0,0.0,0.0,0.0,Training
2007,alfonan01,380000,1,5,2,61,0,0,0,8,149,65,30,3,27,24,0.314,5.44,6.0,1,1.0,0,236.0,22,31,0.0,1.0,3.0,1,61,0.0,149.0,1,4,0.0,0,0.0,0.0,0.0,0.0,0.0,Training
2013,allenco01,492600,1,6,1,77,0,0,0,2,211,62,19,7,26,88,0.233,2.43,2.0,9,1.0,0,301.0,12,22,4.0,4.0,2.0,1,77,0.0,211.0,0,5,3.0,0,0.0,0.0,0.0,0.0,0.0,Training
2014,allenco01,515400,1,6,4,76,0,0,0,24,209,48,16,7,26,91,0.194,2.07,5.0,4,1.0,0,279.0,44,21,2.0,2.0,6.0,1,76,0.0,209.0,2,2,0.0,0,0.0,0.0,0.0,0.0,0.0,Training
2015,allenco01,547100,1,2,5,70,0,0,0,34,208,56,23,2,25,99,0.219,2.99,2.0,9,2.0,0,286.0,58,26,1.0,2.0,5.0,1,70,0.0,208.0,2,4,0.0,0,0.0,0.0,0.0,0.0,0.0,Training
2016,allenco01,4150000,1,3,5,67,0,0,0,32,204,41,19,8,27,87,0.177,2.51,2.0,3,0.0,0,264.0,55,23,3.0,2.0,7.0,1,67,0.0,204.0,3,6,0.0,1,0.0,0.0,0.0,0.0,0.0,Validation
2012,alvarhe01,482900,1,9,14,31,31,1,1,0,562,216,101,29,54,79,0.29,4.85,2.0,3,3.0,1,807.0,0,110,2.0,4.0,30.0,1,31,31.0,562.0,15,35,4.0,2,0.0,0.0,0.0,0.0,0.0,Training
2013,alvarhe01,507900,1,5,6,17,17,1,1,0,308,90,41,2,27,57,0.237,3.59,1.0,4,7.0,1,418.0,0,42,0.0,4.0,11.0,1,17,17.0,308.0,14,19,1.0,1,0.0,0.0,0.0,0.0,0.0,Training
2014,alvarhe01,525400,1,12,7,30,30,3,3,0,561,198,55,14,33,111,0.275,2.65,3.0,4,8.0,0,772.0,0,65,7.0,4.0,24.0,1,30,30.0,561.0,18,36,2.0,5,0.0,0.0,0.0,0.0,0.0,Training
2015,alvarhe01,4000000,1,0,4,4,4,0,0,0,67,28,16,1,7,9,0.311,6.45,1.0,3,0.0,1,102.0,0,18,4.0,1.0,1.0,1,4,4.0,67.0,3,4,1.0,0,0.0,0.0,0.0,0.0,0.0,Training
2015,alvarjo02,509500,1,4,3,64,0,0,0,0,201,58,26,5,23,59,0.228,3.49,4.0,1,5.0,0,283.0,18,29,0.0,1.0,7.0,1,64,0.0,201.0,6,8,0.0,1,0.0,0.0,0.0,0.0,0.0,Training
2016,alvarjo02,507500,1,1,3,64,0,0,0,0,172,71,22,4,15,51,0.298,3.45,4.0,2,1.0,0,256.0,12,29,1.0,1.0,5.0,1,64,0.0,172.0,1,5,1.0,2,0.0,0.0,0.0,0.0,0.0,Validation
2015,alvarrj01,507500,1,0,0,21,0,0,0,0,60,27,22,7,13,23,0.318,9.9,1.0,5,0.0,0,100.0,11,23,0.0,2.0,0.0,1,21,0.0,60.0,2,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Training
2015,amarial01,1150000,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,1.0,1,0,0.0,0.0,0.0,5,117,87.0,2362.0,139,240,12.0,53,0.0,0.0,0.0,0.0,0.0,Training
2010,ambrihe01,400000,1,0,2,34,0,0,0,0,145,68,30,10,17,37,0.338,5.59,1.0,4,1.0,0,224.0,20,31,2.0,3.0,6.0,1,34,0.0,145.0,1,7,0.0,0,0.0,0.0,0.0,0.0,0.0,Training
2013,ambrihe01,493400,1,2,4,43,0,0,0,2,109,50,23,8,14,27,0.325,5.7,1.0,4,1.0,0,171.0,10,28,0.0,2.0,6.0,1,43,0.0,109.0,1,9,0.0,1,0.0,0.0,0.0,0.0,0.0,Training
2009,anderbr04,400000,1,11,11,30,30,1,1,0,526,180,79,20,45,150,0.265,4.06,1.0,0,3.0,1,735.0,0,94,4.0,4.0,24.0,1,30,30.0,526.0,0,29,0.0,5,0.0,0.0,0.0,0.0,0.0,Training
2010,anderbr04,410000,1,7,6,19,19,0,0,0,337,112,35,6,22,75,0.257,2.8,2.0,4,7.0,2,470.0,0,41,3.0,2.0,12.0,1,19,19.0,337.0,4,31,1.0,1,0.0,0.0,0.0,0.0,0.0,Training
2011,anderbr04,1250000,1,3,6,13,13,1,0,0,250,86,37,8,25,61,0.27,4.0,1.0,0,7.0,1,356.0,0,40,4.0,1.0,8.0,1,13,13.0,250.0,0,21,2.0,1,0.0,0.0,0.0,0.0,0.0,Training
2012,anderbr04,3250000,1,4,2,6,6,0,0,0,105,29,10,1,7,25,0.225,2.57,1.0,1,1.0,0,137.0,0,11,0.0,0.0,3.0,1,6,6.0,105.0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Training
2013,anderbr04,5750000,1,1,4,16,5,0,0,3,134,51,30,5,21,46,0.287,6.04,1.0,0,0.0,0,200.0,4,32,1.0,0.0,6.0,1,16,5.0,134.0,0,4,0.0,0,0.0,0.0,0.0,0.0,0.0,Training
2014,anderbr04,8000000,1,1,3,8,8,0,0,0,130,44,14,1,13,29,0.267,2.91,3.0,0,0.0,0,180.0,0,18,1.0,1.0,6.0,1,8,8.0,130.0,0,5,0.0,0,0.0,0.0,0.0,0.0,0.0,Training
2015,anderbr04,10000000,1,10,9,31,31,1,0,0,541,194,74,18,46,116,0.278,3.69,2.0,4,2.0,2,750.0,0,82,3.0,2.0,23.0,1,31,31.0,541.0,4,47,0.0,1,0.0,0.0,0.0,0.0,0.0,Training
2016,anderbr04,15800000,1,1,2,4,3,0,0,0,34,25,15,4,4,5,0.446,11.91,0.0,2,0.0,0,62.0,0,15,1.0,1.0,0.0,1,4,3.0,34.0,0,3,0.0,0,0.0,0.0,0.0,0.0,0.0,Validation
2015,anderch01,512500,1,6,6,27,27,0,0,0,458,158,73,18,40,111,0.272,4.3,2.0,3,7.0,0,640.0,0,75,3.0,9.0,15.0,1,27,27.0,458.0,8,14,2.0,2,0.0,0.0,0.0,0.0,0.0,Training
2016,anderch01,520200,1,9,11,31,30,0,0,0,455,155,74,28,53,120,0.266,4.39,0.0,4,4.0,0,647.0,1,83,4.0,3.0,12.0,1,31,30.0,455.0,8,19,1.0,1,0.0,0.0,0.0,0.0,0.0,Validation
2016,anderco01,511400,1,2,5,19,9,0,0,0,182,85,45,13,13,54,0.333,6.68,3.0,5,1.0,0,270.0,2,45,0.0,1.0,4.0,1,19,9.0,182.0,4,4,1.0,2,0.0,0.0,0.0,0.0,0.0,Validation
2016,anderty01,509500,1,5,6,19,19,0,0,0,343,119,45,12,28,99,0.272,3.54,2.0,4,3.0,3,478.0,0,50,6.0,3.0,13.0,1,19,19.0,343.0,3,29,2.0,2,0.0,0.0,0.0,0.0,0.0,Validation
2015,andrima01,507500,1,3,5,25,8,0,0,2,197,69,30,8,18,49,0.267,4.11,1.0,2,2.0,2,282.0,8,32,1.0,3.0,2.0,1,25,8.0,197.0,4,5,0.0,1,0.0,0.0,0.0,0.0,0.0,Training
2006,aquingr01,342000,1,2,0,42,0,0,0,0,145,54,24,8,24,51,0.283,4.47,2.0,2,4.0,0,220.0,12,27,1.0,0.0,7.0,1,42,0.0,145.0,5,6,0.0,2,0.0,0.0,0.0,0.0,0.0,Training
2007,aquingr01,399000,1,0,1,15,0,0,0,0,42,13,7,2,5,12,0.245,4.5,1.0,2,0.0,0,59.0,8,9,1.0,0.0,1.0,1,15,0.0,42.0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Training
2008,aquingr01,500000,1,0,0,9,0,0,0,0,28,17,13,1,9,9,0.415,12.54,0.0,0,2.0,0,54.0,5,13,1.0,1.0,0.0,1,9,0.0,28.0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Training
2014,archech01,500000,1,10,9,32,32,0,0,0,584,177,72,12,72,173,0.243,3.33,1.0,8,8.0,0,822.0,0,85,4.0,9.0,14.0,1,32,32.0,584.0,10,17,4.0,2,0.0,0.0,0.0,0.0,0.0,Training
2015,archech01,1166667,1,12,13,34,34,1,1,0,636,175,76,19,66,252,0.22,3.23,0.0,13,3.0,0,868.0,0,85,2.0,2.0,10.0,1,34,34.0,636.0,5,22,2.0,3,0.0,0.0,0.0,0.0,0.0,Training
2016,archech01,2916667,1,9,19,33,33,0,0,0,604,183,90,30,67,233,0.238,4.02,0.0,11,3.0,0,850.0,0,100,6.0,4.0,12.0,1,33,33.0,604.0,14,19,2.0,0,0.0,0.0,0.0,0.0,0.0,Validation
2014,arencjp01,1800000,1,0,0,1,0,0,0,0,3,1,0,0,0,0,0.25,0.0,0.0,0,0.0,0,4.0,1,0,0.0,0.0,0.0,3,45,42.0,1088.0,304,20,4.0,18,3.0,0.0,9.0,3.0,0.0,Training
2006,armasto02,2100000,1,9,12,30,30,0,0,0,462,167,86,19,64,97,0.279,5.03,7.0,6,13.0,1,693.0,0,96,12.0,6.0,14.0,1,30,30.0,462.0,7,20,0.0,0,0.0,0.0,0.0,0.0,0.0,Training
2007,armasto02,3000000,1,4,5,31,15,0,0,0,291,111,65,18,38,73,0.287,6.03,3.0,2,8.0,0,442.0,6,68,2.0,7.0,5.0,1,31,15.0,291.0,5,8,0.0,0,0.0,0.0,0.0,0.0,0.0,Training
2009,arredjo01,410000,1,2,3,43,0,0,0,0,135,47,30,6,23,47,0.269,6.0,2.0,5,0.0,1,202.0,15,30,3.0,1.0,4.0,1,43,0.0,135.0,5,3,0.0,0,0.0,0.0,0.0,0.0,0.0,Training
2011,arredjo01,480000,1,4,4,53,0,0,0,0,159,43,19,5,31,48,0.226,3.23,5.0,4,2.0,2,226.0,10,21,3.0,0.0,6.0,1,53,0.0,159.0,10,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Training
2012,arredjo01,800000,1,6,2,66,0,0,0,1,183,50,20,7,34,62,0.225,2.95,2.0,0,1.0,2,263.0,17,26,2.0,4.0,3.0,1,66,0.0,183.0,7,9,1.0,1,0.0,0.0,0.0,0.0,0.0,Training
2011,arrieja01,419000,1,10,8,22,22,0,0,0,358,115,67,21,59,93,0.253,5.05,2.0,0,4.0,0,523.0,0,70,3.0,2.0,9.0,1,22,22.0,358.0,9,16,3.0,3,0.0,0.0,0.0,0.0,0.0,Training
2012,arrieja01,488500,1,3,9,24,18,0,0,0,344,122,79,16,35,109,0.272,6.2,3.0,4,5.0,0,496.0,1,82,3.0,4.0,8.0,1,24,18.0,344.0,4,18,3.0,2,0.0,0.0,0.0,0.0,0.0,Training
2013,arrieja01,516500,3,5,4,14,14,0,0,0,226,59,40,9,41,60,0.466,10.89,1.0,1,5.0,0,324.0,0,41,2.0,3.0,5.0,3,14,14.0,226.0,12,15,1.0,0,0.0,0.0,0.0,0.0,0.0,Training
2014,arrieja01,500000,1,10,5,25,25,1,1,0,470,114,44,5,41,167,0.203,2.53,2.0,8,3.0,0,614.0,0,46,5.0,3.0,9.0,1,25,25.0,470.0,17,20,2.0,1,0.0,0.0,0.0,0.0,0.0,Training
2015,arrieja01,3630000,1,22,6,33,33,4,3,0,687,150,45,10,48,236,0.185,1.77,2.0,6,6.0,0,870.0,0,52,4.0,1.0,15.0,1,33,33.0,687.0,33,49,4.0,5,0.0,0.0,0.0,0.0,0.0,Training
2016,arrieja01,10700000,1,18,8,31,31,1,1,0,592,138,68,16,76,190,0.194,3.1,1.0,16,6.0,0,795.0,0,72,2.0,1.0,17.0,1,31,31.0,592.0,12,40,3.0,6,0.0,0.0,0.0,0.0,0.0,Validation
2006,arroybr01,3000000,1,14,11,35,35,3,1,0,722,222,88,31,64,184,0.243,3.29,7.0,6,5.0,0,992.0,0,98,9.0,2.0,14.0,1,35,35.0,722.0,29,33,0.0,4,0.0,0.0,0.0,0.0,0.0,Training
2007,arroybr01,4125000,1,9,15,34,34,1,0,0,632,232,99,28,63,156,0.28,4.23,6.0,4,13.0,0,921.0,0,109,10.0,7.0,12.0,1,34,34.0,632.0,11,27,1.0,0,0.0,0.0,0.0,0.0,0.0,Training
2008,arroybr01,4575000,1,15,11,34,34,1,0,0,600,219,106,29,68,163,0.281,4.77,2.0,6,6.0,0,871.0,0,116,13.0,6.0,20.0,1,34,34.0,600.0,18,31,0.0,0,0.0,0.0,0.0,0.0,0.0,Training
2009,arroybr01,10125000,1,15,13,33,33,3,2,0,661,214,94,31,65,127,0.256,3.84,6.0,1,9.0,0,923.0,0,101,9.0,5.0,24.0,1,33,33.0,661.0,18,31,2.0,3,0.0,0.0,0.0,0.0,0.0,Training
2010,arroybr01,11625000,1,17,10,33,33,2,0,0,647,188,93,29,59,121,0.234,3.88,5.0,1,6.0,1,880.0,0,95,6.0,5.0,19.0,1,33,33.0,647.0,18,31,0.0,5,0.0,0.0,0.0,0.0,0.0,Training
2011,arroybr01,7666666,1,9,12,32,32,1,1,0,597,227,112,46,45,108,0.286,5.07,5.0,0,6.0,0,855.0,0,119,6.0,5.0,15.0,1,32,32.0,597.0,22,30,4.0,2,0.0,0.0,0.0,0.0,0.0,Training
2012,arroybr01,8166666,1,12,10,32,32,1,1,0,606,209,84,26,35,129,0.267,3.74,1.0,3,5.0,0,835.0,0,86,7.0,6.0,12.0,1,32,32.0,606.0,16,31,0.0,1,0.0,0.0,0.0,0.0,0.0,Training
2013,arroybr01,16445535,1,14,12,32,32,2,1,0,606,199,85,32,34,124,0.258,3.79,2.0,1,7.0,2,823.0,0,88,4.0,7.0,13.0,1,32,32.0,606.0,15,29,1.0,1,0.0,0.0,0.0,0.0,0.0,Training
